tag,stemtag,survey.ID,year,month,day,biannual,intraannual,sp,quadrat,lx,ly,measure,codes,notes,status,field.recorders,data.enter,stemID,treeID,dendDiam,dbh,new.band,dendroID,type,dir,dendHt,crown.condition,crown.illum,lianas,measureID,dbh2,DOY
192244,1,2011.01,2011,3,24,1,1,qual,1919,18.1,16.8,86.29,,,alive,Jenny McGarvey,JM/LL/CK/LB,28661,28661,436,423,1,438,2,NA,1.3,NA,NA,NA,NA,423,83
192244,1,2011.02,2011,5,9,1,1,qual,1919,18.1,16.8,87.09,,,alive,TK/CJ/LL,TK/CJ/LL,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,423.2599160372884,129
192244,1,2011.03,2011,5,13,1,1,qual,1919,18.1,16.8,87.35,,,alive,LL/TK,LL/TK,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,423.34442472351213,133
192244,1,2011.04,2011,5,16,1,1,qual,1919,18.1,16.8,87.35,,,alive,TB,TB,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,423.3445006412421,136
192244,1,2011.05,2011,5,24,1,1,qual,1919,18.1,16.8,87.68,,,alive,JM/SM,JM/SM,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,423.4517528251789,144
192244,1,2011.06,2011,6,6,1,1,qual,1919,18.1,16.8,88.7,,,alive,LL/KS,LL/KS,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,423.7833680168747,157
192244,1,2011.07,2011,6,13,1,1,qual,1919,18.1,16.8,89.54,,,alive,LL/MC,LL/MC,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.05660209258394,164
192244,1,2011.08,2011,6,20,1,1,qual,1919,18.1,16.8,89.38,,,alive,NA,NA,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.0045736184033,171
192244,1,2011.09,2011,6,27,1,1,qual,1919,18.1,16.8,89.66,,,alive,NA,NA,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.09564837713117,178
192244,1,2011.1,2011,7,5,1,1,qual,1919,18.1,16.8,89.57,,,alive,MC/LL,MC/LL,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.0663498601028,186
192244,1,2011.11,2011,7,11,1,1,qual,1919,18.1,16.8,90.04,,,alive,TK/Mike C.,TK/Mike C.,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.21927006615624,192
192244,1,2011.12,2011,7,18,1,1,qual,1919,18.1,16.8,90.58,,,alive,Mike/Lorien,Mike/Lorien,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.3949737444191,199
192244,1,2011.13,2011,7,25,1,1,qual,1919,18.1,16.8,91.02,,,alive,Lorien,Lorien,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.53816653090723,206
192244,1,2011.14,2011,8,1,1,1,qual,1919,18.1,16.8,91.02,,,alive,Lorien,Lorien,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.53824568898943,213
192244,1,2011.15,2011,8,8,1,1,qual,1919,18.1,16.8,90.88,,,alive,Lorien,Lorien,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.4926862518609,220
192244,1,2011.16,2011,8,22,1,1,qual,1919,18.1,16.8,91.18,,,alive,Lorien,Lorien,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.5903558602035,234
192244,1,2011.17,2011,9,6,1,1,qual,1919,18.1,16.8,92.62,,,alive,Caroline/Lorien,Caroline/Lorien,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,425.0593038423296,249
192244,1,2011.18,2011,9,19,1,1,qual,1919,18.1,16.8,92.64,,,alive,Caroline/Lorien,Caroline/Lorien,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,425.0658207569807,262
192244,1,2011.19,2011,10,5,1,1,qual,1919,18.1,16.8,92.88,,,alive,Caroline/John/V,Caroline/John/V,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,425.14399654303605,278
192244,1,2011.2,2011,10,16,1,1,qual,1919,18.1,16.8,92.62,,,alive,Caroline/Lorien,Caroline/Lorien,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,425.05929076162164,289
192244,1,2011.21,2011,11,1,1,1,qual,1919,18.1,16.8,92.43,,,alive,Caroline/Lorien/Leah,Caroline/Lorien/Leah,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.9973798303519,305
192244,1,2011.22,2011,11,17,1,1,qual,1919,18.1,16.8,92.12,,,alive,John/Lulu/Leah,John/Lulu/Leah,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,424.8963941641935,321
192244,1,2011.23,2011,12,15,1,1,qual,1919,18.1,16.8,92.38,,,alive,Jennifer McGarvey,Jennifer McGarvey,28661,28661,NA,423,0,438,2,NA,1.3,4,4,NA,NA,424.98105087839195,349
192244,1,2012.01,2012,3,15,1,1,qual,1919,18.1,16.8,92.35,,,alive,Caroline Johnson,CJ/LC/BB,28661,28661,NA,423,0,438,2,NA,1.3,4,4,NA,NA,424.9712995328401,75
192244,1,2012.02,2012,4,11,1,1,qual,1919,18.1,16.8,92.99,,,alive,Bettina,Bettina,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,425.17980349766685,102
192244,1,2012.03,2012,4,25,1,1,qual,1919,18.1,16.8,95.3,,,alive,Bettina/Caroline/Ben M.,Bettina/Caroline/Ben M.,28661,28661,NA,423,0,438,2,NA,1.3,NA,NA,NA,NA,425.9328953640802,116
